book_id,title,author,rating,ratings_count,reviews_count,description,genres,pages,format,publication_date,literary_awards,original_title,series,setting,characters,isbn,language																																																																																																																												
1,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.58,3674555,70957,"It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster, he was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...","Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens, Adventure, Middle Grade, Classics",652,Paperback,"September 16, 2006","Locus Award, Audie Award, The Quill Award",Harry Potter and the Half-Blood Prince,Harry Potter,"Hogwarts School of Witchcraft and Wizardry, England","Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Lord Voldemort, Neville Longbottom, Fred Weasley, George Weasley, Ginny Weasley, Arthur Weasley, Molly Weasley, Cornelius Fudge, Peter Pettigrew, Fleur Delacour, Bellatrix Lestrange, Bill Weasley, Luna Lovegood, Nymphadora Tonks, Kreacher, Narcissa Malfoy, Horace Slughorn, Draco Malfoy, Albus Dumbledore, Harry Potter, Hermione Granger, Madam Malkin, Romilda Vane",,English																																																																																																																												
2,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,3814489,78489,"Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.Harry has had enough. He is beginning to think he must do something, anything, to change his situation, when the summer holidays come to an end in a very dramatic fashion. What Harry is about to discover in his new year at Hogwarts will turn his world upside down...","Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens, Adventure, Middle Grade, Classics",870,Paperback,"September 01, 2004","Bram Stoker Award, Anthony Award, Mythopoeic Fantasy Award, Audie Award, Books I Loved Best Yearly (BILBY) Awards, Colorado Blue Spruce Young Adult Book Award, Golden Archer Award, Deutscher Jugendliteraturpreis, Carnegie Medal",Harry Potter and the Order of the Phoenix,Harry Potter,"Hogwarts School of Witchcraft and Wizardry, London, England","Sirius Black, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Gilderoy Lockhart, Lucius Malfoy, Pomona Sprout, Arthur Weasley, Molly Weasley, Cho Chang, Cornelius Fudge, Remus Lupin, Sybil Trelawney, Stan Shunpike, Bellatrix Lestrange, Alastor Moody, Rita Skeeter, Luna Lovegood, Nymphadora Tonks, Dolores Umbridge, Dobby, Kingsley Shacklebolt, Padma Patil, Parvati Patil, Kreacher, Dean Thomas, Seamus Finnigan, Draco Malfoy, Albus Dumbledore, Harry Potter, Hermione Granger, Lavender Brown",9780439686525,English																																																																																																																												
3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,11475756,195559,"Harry Potter &amp	 the Sorcerers Stone Rowling, J.K.","Fantasy, Fiction, Young Adult, Harry Potter, Magic, Childrens, Audiobook, Middle Grade, Classics, Adventure",309,Hardcover,"November 01, 2003","Mythopoeic Fantasy Award, British Book Award, Kate Greenaway Medal, Prijs van de Nederlandse Kinderjury, American Booksellers Book Of The Year  Award, Audie Award, West Australian Young Readers' Book Award (WAYRBA), South Carolina Book Award, Grand Canyon Reader Award, Charlotte Award, Nene Award, Massachusetts Children's Book Award, Colorado Blue Spruce Young Adult Book Award, Blue Hen Book Award, Nevada Young Readers' Award, Golden Archer Award, Indian Paintbrush Book Award, Hotze de Roosprijs, NestlГ© Smarties Book Prize, Eliot Rosewater Indiana High School Book Award, Kinderboekwinkelprijs, Parenting Book of the Year Award, North East Teenage Book Award, Specsavers National Book Award, Washington State Sasquatch Award, Literaturpreis der Jury der jungen Leser, Carnegie Medal, Rebecca Caudill Young Readers' Book Award, Premi Protagonista Jove",Harry Potter and the PhilosopherвЂ™s Stone,Harry Potter,"London, England, Hogwarts School of Witchcraft and Wizardry, England","Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Quirinus Quirrell, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Filius Flitwick, Pomona Sprout, Molly Weasley, Poppy Pomfrey, Oliver Wood, Parvati Patil, Dean Thomas, James Potter, Lily Potter, Seamus Finnigan, Garrick Ollivander, Rolanda Hooch, Katie Bell, Draco Malfoy, Albus Dumbledore, Dedalus Diggle, Harry Potter, Hermione Granger, Lavender Brown",9780439554930,English																																																																																																																											
4,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,4521488,98328,"The Dursleys were so mean and hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby who says that if Harry Potter returns to Hogwarts, disaster will strike.And strike it does. For in Harry's second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor, Gilderoy Lockhart, a spirit named Moaning Myrtle who haunts the girls' bathroom, and the unwanted attentions of Ron Weasley's younger sister, Ginny. But each of these seem minor annoyances when the real trouble begins, and someone, or something, starts turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possibly be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects: Harry Potter himself?","Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens, Middle Grade, Adventure, Classics",352,Hardcover,"November 01, 2003","Mythopoeic Fantasy Award, British Book Award, Prijs van de Jonge Jury, Books I Loved Best Yearly (BILBY) Awards, Colorado Blue Spruce Young Adult Book Award, Golden Archer Award, NestlГ© Smarties Book Prize, Premio Euskadi de Literatura",Harry Potter and the Chamber of Secrets,Harry Potter,Hogwarts School of Witchcraft and Wizardry,"Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Gilderoy Lockhart, Lucius Malfoy, Pomona Sprout, Arthur Weasley, Molly Weasley, Cornelius Fudge, Poppy Pomfrey, Oliver Wood, Dobby, Parvati Patil, Dean Thomas, James Potter, Seamus Finnigan, Rolanda Hooch, Katie Bell, Draco Malfoy, Albus Dumbledore, Harry Potter, Hermione Granger",9780439554893,English																																																																																																																												
5,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,4874031,103710,"Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...","Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens, Middle Grade, Adventure, Classics",547,Mass Market Paperback,"May 01, 2004","Bram Stoker Award, Hugo Award, Locus Award, Whitbread Award, Mythopoeic Fantasy Award, Books I Loved Best Yearly (BILBY) Awards, Colorado Blue Spruce Young Adult Book Award, Maine Student Book Award, Golden Archer Award, Indian Paintbrush Book Award, Soaring Eagle Book Award, Hotze de Roosprijs, NestlГ© Smarties Book Prize",Harry Potter and the Prisoner of Azkaban,Harry Potter,"Hogwarts School of Witchcraft and Wizardry, Scotland, United Kingdom","Sirius Black, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Rubeus Hagrid, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Pomona Sprout, Arthur Weasley, Molly Weasley, Cho Chang, Marjorie Dursley, Cornelius Fudge, Remus Lupin, Sybil Trelawney, Peter Pettigrew, Poppy Pomfrey, Stan Shunpike, Oliver Wood, Cedric Diggory, Dean Thomas, Seamus Finnigan, Rolanda Hooch, Katie Bell, Ernie Prang, Draco Malfoy, Albus Dumbledore, Harry Potter, Hermione Granger, Pansy Parkinson",9780439655484,English																																																																																																																												
6,Harry Potter and the Goblet of Fire,J.K. Rowling,4.57,4217196,85562,"Harry Potter wants to get away from the pernicious Dursleys and go to the Quidditch World Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event involving two other rival schools of magic, and a competition that hasn't happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. Unfortunately for Harry Potter, he's not normal	 heвЂ™s different -- even by wizarding standards. And in this case, different can be deadly.","Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens, Middle Grade, Adventure, Classics",734,Paperback,"September 28, 2002","Hugo Award, Mythopoeic Fantasy Award, Publieksprijs voor het Nederlandse Boek, Audie Award, West Australian Young Readers' Book Award (WAYRBA), Golden Archer Award, Indian Paintbrush Book Award, Deutscher Buchpreis (German Book Prize), Corine Internationaler Buchpreis",Harry Potter and the Goblet of Fire,Harry Potter,"Hogwarts School of Witchcraft and Wizardry, Scotland, United Kingdom","Sirius Black, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Arthur Weasley, Molly Weasley, Cho Chang, Cornelius Fudge, Sybil Trelawney, Ludo Bagman, Bartemius Crouch, Bartemius Crouch, Jr., Fleur Delacour, Cedric Diggory, Viktor Krum, Bellatrix Lestrange, Alastor Moody, Rita Skeeter, Charlie Weasley, Bill Weasley, Draco Malfoy, Albus Dumbledore, Harry Potter, Hermione Granger",9780439139595,English																																																																																																																											
7,The Harry Potter Collection,J.K. Rowling,4.71,35856,1001,"Six years of magic, adventure, and mystery make this paperback collection the perfect gift for Harry Potter fans of all ages.Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From a dangerous descent into the Chamber of Secrets to the Triwizard Tournament to the return of He-Who-Must-Not-Be-Named, each adventure is more riveting and exhilarating than its predecessor, and now all six books are available together for the first time in a","Fantasy, Harry Potter, Fiction, Young Adult, Magic, Adventure, Classics, Childrens, Science Fiction Fantasy, Novels",,Paperback,"July 25, 2006",,"Harry Potter Collection (Harry Potter, #1-6)",,,,9780439887458,English																																																																																																																												
8,"Harry Potter Boxed Set, Books 1-5",J.K. Rowling,4.71,178006,365,"Box Set containing Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber Of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet Of Fire, and Harry Potter and the Order of the Phoenix!","Fantasy, Harry Potter, Fiction, Young Adult, Magic, Adventure, Childrens, Supernatural, Mystery, Young Adult Fantasy",2690,Paperback,"September 13, 2004",,,,,,9780439682589,English																																																																																																																												
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,4.09,65,1,"Through the magic of print-on-demand technology, this ""nimble"" guide to the work of best-selling author J. K. Rowling provides the latest news about the author and her works, updated whenever there are significant developments. Unlike a conventional book, for which editions are printed in quantity every couple of years, this ""living book"" goes through frequent ""mini-editions"" and is printed fresh whenever customers place an order. Purchasers are entitled to free PDF updates! An entirely new section of analysis with more than 75 new pages will be added shortly after the release of ""Harry Potter and the Half-Blood Prince"" on July 16, 2005.",,152,Paperback,"April 26, 2005",,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",,,,9780976540601,English																																																																																																																												
10,Harry Potter Collection,J.K. Rowling,4.71,35856,1001,"Six years of magic, adventure, and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages. Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the Sorcerer's Stone to the Triwizard Tournament to the return of He-Who-Must-Not-Be-Named, each adventure is more riveting and exhilarating than its predecessor, and now all six books are available together for the first time in an elegant hardcover boxed set.","Fantasy, Harry Potter, Fiction, Young Adult, Magic, Adventure, Classics, Childrens, Science Fiction Fantasy, Novels",3342,Hardcover,"September 12, 2005",,"Harry Potter Collection (Harry Potter, #1-6)",,,,9780439827607,English																																																																																																																												
